Score	normalized_score	Ensembl_Gene	gene
1.77712078538795	0.000128804869564974	ENSMUSG00000021250	Fos
1.50885868991742	0.00010936136043469	ENSMUSG00000052684	Jun
0.0389459151217176	2.82278141057604e-06	ENSMUSG00000091199	Gm2619
0.252354222636813	1.82905140709439e-05	ENSMUSG00000090877	Hspa1b
0.502256533056199	3.64033147101688e-05	ENSMUSG00000097125	Gm26885
1.61107369350661	0.000116769855295108	ENSMUSG00000003545	Fosb
0.131014985906677	9.49590388538643e-06	ENSMUSG00000030110	Ret
0.0212329405916659	1.53895343854939e-06	ENSMUSG00000069270	H2ac6
0.184917254932719	1.34027147157149e-05	ENSMUSG00000024190	Dusp1
0.0511339484793673	3.70616427334691e-06	ENSMUSG00000040265	Dnm3
0.0993070383708997	7.19772692403419e-06	ENSMUSG00000067149	Jchain
0.00276066756723577	2.00091872670564e-07	ENSMUSG00000062846	Gm14176
0.0761923716789031	5.52238687242901e-06	ENSMUSG00000022425	Enpp2
0.0320248503368943	2.32114592570082e-06	ENSMUSG00000029752	Asns
0.0190729480136226	1.38239820349515e-06	ENSMUSG00000095562	Erdr1
0.0432039578111605	3.13140232015369e-06	ENSMUSG00000018411	Mapt
0.0142996968369121	1.03643522772429e-06	ENSMUSG00000044676	Zfp612
0.0541210981066194	3.92267145804301e-06	ENSMUSG00000046447	Camk2n1
0.0180864031639424	1.31089390185855e-06	ENSMUSG00000051747	Ttn
0.00530760295879487	3.84692538870397e-07	ENSMUSG00000000266	Mid2
0.112946871421151	8.18633553824389e-06	ENSMUSG00000003541	Ier3
0.0169461298015286	1.22824743071165e-06	ENSMUSG00000048899	Rimkla
0.102653280404378	7.44026095559748e-06	ENSMUSG00000044072	Eml6
0.0361268009871314	2.61845335849325e-06	ENSMUSG00000004988	Fxyd4
0.0457576571420217	3.31649323345812e-06	ENSMUSG00000033948	Zswim5
0.106181201358189	7.69596298892434e-06	ENSMUSG00000040435	Ppp1r15a
0.0449687533933839	3.25931386485351e-06	ENSMUSG00000030701	Plekhb1
