Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
2	ENSMUSG00000021250	5.4747289197684	5.11553013567637	21.5003330802503	1.64303599349149e-17	1.07102374827111e-13	28.6757545613549	Fos	1
5	ENSMUSG00000052684	5.36054625505469	4.98502114339024	20.4452658431652	5.34534451737831e-17	1.64016551171236e-13	27.920211427552	Jun	2
1772	ENSMUSG00000091199	4.63037093973474	1.03965227526751	5.20045944219292	2.29728435463357e-05	0.000198899190568782	2.2477602133888	Gm2619	3
1119	ENSMUSG00000090877	4.35930210820369	1.83111959339682	6.12718509214069	2.20191664411935e-06	3.01892807453789e-05	4.95180998516733	Hspa1b	4
71	ENSMUSG00000097125	4.34946154004757	1.25275132519834	12.5863658555429	3.03618824147146e-12	6.55268802507951e-10	14.8703403284523	Gm26885	5
57	ENSMUSG00000003545	4.18164243742395	4.65693751593365	13.162121960515	1.15426726255022e-12	3.10680146351674e-10	18.9272359514183	Fosb	6
963	ENSMUSG00000030110	4.04235684423564	0.865441613641263	6.43647579171311	1.02462727418087e-06	1.63238127107819e-05	5.56566227247839	Ret	7
1206	ENSMUSG00000069270	3.9866162264422	-1.79544952577652	5.95853340582296	3.35562388521268e-06	4.26882103208399e-05	2.8688786700007	H2ac6	8
6	ENSMUSG00000024190	3.9847503046355	4.65711361535759	20.0646338750767	8.29139556867118e-17	2.12010984690922e-13	27.6254296008282	Dusp1	9
1133	ENSMUSG00000040265	3.67050766245197	-1.00387563959269	6.10733934113818	2.31349230338092e-06	3.13270952501942e-05	3.9037376306969	Dnm3	10
1077	ENSMUSG00000067149	3.59464560459665	5.55955717830013	6.20258486686668	1.82557899700954e-06	2.60056016454228e-05	4.89742416765757	Jchain	11
6916	ENSMUSG00000062846	3.57885223068314	0.64040641079997	2.18658861730069	0.0384596566456919	0.0853163753988151	-3.81101972108762	Gm14176	12
307	ENSMUSG00000022425	3.49103771543775	1.17595651449419	9.02423462464229	2.70680875152803e-09	1.35269901843463e-07	10.6492997114765	Enpp2	13
369	ENSMUSG00000029752	3.48146616475701	2.02690682471893	8.62487948656468	6.38908394449965e-09	2.65640449529847e-07	10.1011514802919	Asns	14
1225	ENSMUSG00000095562	3.3868403374864	2.5559767298076	5.92727061070343	3.62929493260324e-06	4.54274319318959e-05	4.48589114448805	Erdr1	15
1944	ENSMUSG00000018411	3.30254439691731	-2.06885494504991	4.96352791623044	4.22216863895261e-05	0.000333212506475365	1.20569417817204	Mapt	16
559	ENSMUSG00000044676	3.27218094982286	0.0743308911035312	7.62661845405517	5.99702374356067e-08	1.64590945033467e-06	6.38622913191722	Zfp612	17
125	ENSMUSG00000046447	3.26619183713617	3.72765522261785	11.0108990919347	5.10505776797744e-11	6.26574370210479e-09	15.1906389829742	Camk2n1	18
1942	ENSMUSG00000051747	3.19968102521302	2.02755280960442	4.9671639491565	4.18284694320406e-05	0.000330449216285462	2.12370112865119	Ttn	19
1655	ENSMUSG00000000266	3.18961300451527	-1.09086447598123	5.33496111786941	1.62815195737507e-05	0.000150931162115096	2.42218031260923	Mid2	20
295	ENSMUSG00000003541	3.13175180441417	3.43871292006779	9.1407649730853	2.11513027106657e-09	1.10001113961706e-07	11.6721802708441	Ier3	21
446	ENSMUSG00000048899	3.06714409957623	0.870888870767615	8.1348852154316	1.88627637247139e-08	6.48862154853274e-07	8.45748003615407	Rimkla	22
174	ENSMUSG00000044072	3.05334039725761	2.14938981623817	10.2240941858809	2.32094047526563e-10	2.04642923974284e-08	13.5395273383372	Eml6	23
1304	ENSMUSG00000004988	3.04536912578101	-1.40211586597209	5.79055833140423	5.11891460780877e-06	6.02257576019955e-05	2.95938472786292	Fxyd4	24
1422	ENSMUSG00000033948	3.00837101164543	-0.360614571479273	5.62823223076095	7.71670617591654e-06	8.32557708515553e-05	3.27175687620266	Zswim5	25
3	ENSMUSG00000040435	2.99044157830371	6.29421015669176	21.2793820863734	2.09429751324033e-17	1.07102374827111e-13	29.8388092041795	Ppp1r15a	26
1844	ENSMUSG00000030701	2.98623774120989	-1.66947546735223	5.09626811086679	3.00138734841148e-05	0.000249714125267511	1.75987295926818	Plekhb1	27
1628	ENSMUSG00000097569	2.98215217396456	-1.47327763757174	5.3686222668362	1.49398920744543e-05	0.000140753158134135	1.9703637377252	Gm26640	28
1207	ENSMUSG00000088088	2.97525921020124	0.479261918218975	5.95776288869356	3.36211048681545e-06	4.27352933626534e-05	4.3130695512626	Rmrp	29
1	ENSMUSG00000052837	2.94566141756802	7.77753555917398	32.8852090388613	6.41647323248101e-22	9.84415323327236e-18	39.9743976890036	Junb	30
580	ENSMUSG00000072612	2.94151899410369	0.603714810538686	7.55058787548117	7.15073743985829e-08	1.89149334141907e-06	7.47999566438622	Gm10382	31
135	ENSMUSG00000031618	2.91806958023478	2.15049834107039	10.8332659945525	7.14001035926994e-11	8.1142251060681e-09	14.4534413760979	Nr3c2	32
2371	ENSMUSG00000083796	2.91091425152236	-1.66890692667814	4.56095683119455	0.000119172470627364	0.000771127812891193	0.735016841079812	Gm13369	33
3587	ENSMUSG00000031543	2.8866600274736	2.31479846351026	3.66652990286971	0.0011762813526548	0.00503108684483688	-0.880365413567731	Ank1	34
1087	ENSMUSG00000047586	2.75729681027577	1.20496630684342	6.18591365940619	1.90272740638411e-06	2.68552381497195e-05	5.09306417516321	Nccrp1	35
220	ENSMUSG00000085289	2.7569170927676	1.82296204108346	9.80675697085069	5.3424216491216e-10	3.72561058821926e-08	12.3903176017317	Gm15337	36
2814	ENSMUSG00000037577	2.75034910790142	-2.59955815222844	4.20002443941437	0.00030190593479107	0.00164599888115302	-0.193312930215108	Ephx3	37
2686	ENSMUSG00000096768	2.74147806337522	6.65994320682203	4.29916920482912	0.000233965486356717	0.00133637322847534	-0.406575420122247	Gm47283	38
441	ENSMUSG00000030103	2.71429090314553	4.90368931561495	8.16289415788535	1.77156116405002e-08	6.16310462105563e-07	9.41689778635546	Bhlhe40	39
3041	ENSMUSG00000087108	2.68028908913169	-2.42879836802016	4.0273661339493	0.000470053271065069	0.00237144271117405	-0.516621279744471	Gm16093	40
2056	ENSMUSG00000042784	2.67799357349031	-1.3350615118907	4.84368069536497	5.74870598270841e-05	0.000428972019390625	1.53591378898393	Muc1	41
207	ENSMUSG00000034842	2.6559670261031	0.816463519565451	9.90153017864081	4.4125394226579e-10	3.25481266191224e-08	11.5685534949704	Art3	42
237	ENSMUSG00000060568	2.64901673581447	1.2306630871251	9.58949488772605	8.31727041563011e-10	5.38411657032055e-08	12.3306881717383	Fam78b	43
2660	ENSMUSG00000051000	2.62207101438732	0.449132821161793	4.3149917057737	0.000224629111098895	0.00129558639942829	0.620862014860275	Fam160a1	44
786	ENSMUSG00000022041	2.59970599986971	0.807116213602051	6.89097811870529	3.39521118936565e-07	6.62714122992975e-06	6.30905570328839	Chrna2	45
1876	ENSMUSG00000056367	2.59467900678371	-0.433635982931558	5.05605279799302	3.3280796855359e-05	0.000272121070581445	2.13985640942957	Actr3b	46
671	ENSMUSG00000071552	2.58043509168386	3.12048703455264	7.25558943845786	1.42538652881986e-07	3.25905814085757e-06	7.52357688254641	Tigit	47
2172	ENSMUSG00000092474	2.56750110696216	0.962644520262746	4.73143776235453	7.67760457547507e-05	0.000542310356339496	1.2998289606852	Gm20478	48
709	ENSMUSG00000045087	2.55493985377571	3.83128343534572	7.11652291275652	1.98081220946349e-07	4.28626529162043e-06	7.03021039930306	S1pr5	49
685	ENSMUSG00000035067	2.52389888196577	1.26442146408685	7.19899381791669	1.62916052980908e-07	3.64884391946436e-06	7.18333207133842	Xkr6	50
279	ENSMUSG00000040441	2.52131001965911	1.02573157573606	9.25824995083079	1.65240614652598e-09	9.08645702509018e-08	11.1787273672964	Slc26a10	51
79	ENSMUSG00000092278	2.50351520237613	3.18831567763081	12.3665450956892	4.43069772477076e-12	8.60452715106746e-10	16.5635571623675	Gm8752	52
298	ENSMUSG00000006651	2.49145033124222	1.67165327620892	9.09594887921114	2.32510821658109e-09	1.19704061271098e-07	11.3010564489441	Aplp1	53
901	ENSMUSG00000026153	2.46867791230538	0.411824161153025	6.59853202344773	6.8915859618651e-07	1.17348181827896e-05	5.68261936209502	Fam135a	54
9	ENSMUSG00000001025	2.46772081345165	5.58170242099885	18.829593802216	3.63168444461904e-16	6.19081141659392e-13	27.0652986524609	S100a6	55
148	ENSMUSG00000022912	2.46626517413925	2.67874506130783	10.5709749346388	1.17970286563787e-10	1.20508164519248e-08	14.3755049767122	Pros1	56
2843	ENSMUSG00000097008	2.45986756789888	-0.734155380801584	4.18124202807674	0.000316828812165903	0.00170973888014396	0.165762644446684	NA	57
492	ENSMUSG00000048807	2.45657922532317	0.658266923051644	7.91620640157284	3.08964811939491e-08	9.63442712352779e-07	8.54193011888308	Slc35e4	58
2426	ENSMUSG00000097070	2.44723724488335	-1.01767579355676	4.50662575646564	0.000137095895240625	0.00086699308523564	1.02163193108123	NA	59
1438	ENSMUSG00000096945	2.42652888541431	0.134708681476186	5.6027879121793	8.23109112785116e-06	8.78016923059486e-05	3.56714404209234	NA	60
601	ENSMUSG00000076609	2.4256576187587	7.45239295497762	7.4750300579258	8.52345719166244e-08	2.17557954731405e-06	7.53903636721074	Igkc	61
1832	ENSMUSG00000001333	2.40358951598459	-1.69483444264837	5.11101406397809	2.88985653243709e-05	0.000242009710265556	1.65659626766783	Sync	62
439	ENSMUSG00000026656	2.3990788061533	4.77469375145769	8.17809562665746	1.71232425208126e-08	5.98416370738739e-07	9.37872979723607	Fcgr2b	63
1120	ENSMUSG00000039021	2.39045862779254	-0.121386390119476	6.12299364714905	2.22501693893689e-06	3.04787588189016e-05	4.84027926792449	Ttc16	64
4624	ENSMUSG00000068246	2.38194475647912	-2.265829723206	3.09291514355904	0.00486559811659326	0.0161435999794061	-2.0873622022534	Apol9b	65
3378	ENSMUSG00000031748	2.37881376406096	-2.20028920597276	3.80744554430198	0.000823438170052713	0.00373984263023941	-0.775365485270937	Gnao1	66
