"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000052837",3.14924770990034,7.77753555917398,37.2985767631545,3.03065285574495e-23,4.64962761128391e-19,42.8375330778381
"ENSMUSG00000027368",2.18872416957709,6.81583321503215,29.6128643026102,8.04135262994037e-21,4.19440648778269e-17,37.5653072831492
"ENSMUSG00000019850",2.8209683098918,7.61291199654564,29.5885556634995,8.20181166950077e-21,4.19440648778269e-17,37.5820572443258
"ENSMUSG00000021250",4.61805275077328,5.11553013567637,26.9306442457652,7.84797214687382e-20,2.62327345737566e-16,34.4639674898357
"ENSMUSG00000040435",3.4008500874192,6.29421015669176,26.8344665972812,8.54932035385107e-20,2.62327345737566e-16,35.1704809249761
"ENSMUSG00000024190",3.46383201992695,4.65711361535759,24.2878066382102,9.21234635514653e-19,2.35559696301097e-15,32.3662899101674
"ENSMUSG00000052684",5.19993336151957,4.98502114339024,23.0751396028696,3.10240229138835e-18,6.79957942206858e-15,30.7126310432052
"ENSMUSG00000034765",2.08444098066883,5.78279699511915,19.8740422216381,1.03586576968587e-16,1.98653157981507e-13,28.3045567215508
"ENSMUSG00000083563",-1.48521286302783,4.205938499991,-19.5681230799816,1.48665467974501e-16,2.53425067740533e-13,27.9451877911822
"ENSMUSG00000097194",-1.67619681996585,4.81758604069324,-18.5373880006361,5.21524737963411e-16,8.00123252983465e-13,26.6736127234477
"ENSMUSG00000003545",5.59122996817321,4.65693751593365,18.3276222069779,6.78323770187044e-16,9.46076662019057e-13,25.7677575440916
"ENSMUSG00000071076",1.75232482076051,7.20808171176728,17.938269704376,1.11269263012687e-15,1.4225775276172e-12,25.9379335996083
"ENSMUSG00000035530",1.02341373542843,8.70450899832517,17.7818127074863,1.36107704381956e-15,1.60628030817536e-12,25.7197472167565
"ENSMUSG00000022994",-2.2753157438851,3.50262787450146,-17.5962442993889,1.73195122887723e-15,1.89797112524532e-12,25.2908379367117
"ENSMUSG00000053560",1.59370089387809,6.95788418607576,17.4523775079977,2.09085769499577e-15,2.13852925044167e-12,25.3064409542975
"ENSMUSG00000024014",1.54975102376998,6.96700070393785,17.3139932470476,2.50924340721011e-15,2.40605077208859e-12,25.1197310213052
"ENSMUSG00000054364",1.5809950867815,4.93876843745299,16.8722748292109,4.52967791685554e-15,4.08790109414104e-12,24.5596329795601
"ENSMUSG00000006360",1.52189357292943,6.27667567143669,16.7994283417617,4.99940772769453e-15,4.26116185323831e-12,24.4587157462618
"ENSMUSG00000025867",-1.8601828918767,4.27533484287243,-16.7061457822244,5.67572121020272e-15,4.58299551615421e-12,24.3242871095152
"ENSMUSG00000090069",2.10833210180407,3.00166132294555,16.5659049726007,6.87626276765715e-15,5.2747811690698e-12,23.5563275136887
"ENSMUSG00000032420",1.43017606150524,6.15614554907545,16.4227859402679,8.37545375399055e-15,6.11886721398681e-12,23.943957540751
"ENSMUSG00000019982",-2.02528866680317,5.82332778653869,-16.1168136944349,1.28306739677483e-14,8.55730053374095e-12,23.5062361566363
"ENSMUSG00000097125",4.41933945636661,1.25275132519834,16.0945590010445,1.32384488602096e-14,8.55730053374095e-12,19.7218531438411
"ENSMUSG00000032515",1.39098900815054,5.43494988437136,16.0866560120863,1.3386469352743e-14,8.55730053374095e-12,23.4802323091122
"ENSMUSG00000067736",-1.38531069756053,7.16750414413797,-15.9846458541255,1.5458770530086e-14,9.12186374894538e-12,23.2789694950459
"ENSMUSG00000065947",-1.38531069756053,7.16750414413797,-15.9846458541255,1.5458770530086e-14,9.12186374894538e-12,23.2789694950459
"ENSMUSG00000001025",2.51032041712702,5.58170242099885,15.6673104705381,2.43090311875261e-14,1.38129317214454e-11,22.8789686613085
"ENSMUSG00000000303",2.89957915897247,3.09972874195192,15.635472456398,2.54491209942854e-14,1.39443005105117e-11,21.8077243951354
"ENSMUSG00000028680",1.53061963164145,4.2115436394687,15.4264462969493,3.44501000729751e-14,1.82252908730891e-11,22.513431633447
"ENSMUSG00000031258",-1.2567781741365,3.8482142230134,-15.3346761781619,3.93907081571486e-14,2.01444081515658e-11,22.4111665106116
"ENSMUSG00000061477",1.42386365514328,8.2824304980764,15.2140068584235,4.70284488670005e-14,2.32745310489523e-11,22.1574506513689
