"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000052837",3.86070417966541,7.7117748279752,45.4076179766239,6.58835095596815e-25,9.56892092844813e-21,46.5054201242384
"ENSMUSG00000021250",6.83170310617186,4.67901826866766,31.596827942757,3.64527699904944e-21,2.6472001567097e-17,36.803751572693
"ENSMUSG00000040435",3.49361696939018,6.26306102213679,29.5094685215631,1.8256327160511e-20,8.83849652264207e-17,36.843149250461
"ENSMUSG00000024190",4.41502987254175,4.33792266049326,28.5154019203811,4.08605830120323e-20,1.48364776916689e-16,35.5261015746705
"ENSMUSG00000019850",2.58689728210918,7.113957583869,25.9903359420857,3.58579730935119e-19,9.24681280629349e-16,33.9723815443732
"ENSMUSG00000052684",7.3176282055713,4.37038746857249,25.9200395272472,3.81994470103008e-19,9.24681280629349e-16,32.1134927823878
"ENSMUSG00000060586",5.04143407737842,3.40947597472635,20.4802509056931,8.89811252602427e-17,1.84623123325681e-13,28.0766633838542
"ENSMUSG00000003379",3.85456482583317,3.33629092112468,19.761916824861,2.01197577963392e-16,3.65274202792538e-13,27.5136145706068
"ENSMUSG00000097194",-1.74888780324222,5.58672152739511,-19.6430371744301,2.30868043521674e-16,3.72569718234311e-13,27.5213530721262
"ENSMUSG00000024610",5.0722026250054,5.26075948190512,19.4520583611657,2.88410916551142e-16,4.18888015198879e-13,27.302239020857
"ENSMUSG00000036594",5.08684405165508,3.76963854991418,19.3410288784694,3.28538807747806e-16,4.33790694884467e-13,26.9469098840639
"ENSMUSG00000071076",2.28021847484023,7.19565575628196,18.09373053343,1.48789506230359e-15,1.80084899040811e-12,25.6195007945199
"ENSMUSG00000054364",2.15725992555285,4.28701668515208,17.2430978693704,4.39420912444107e-15,4.90934564026016e-12,24.5924281180641
"ENSMUSG00000002204",5.36070203739859,0.287071994893772,17.1801434518879,4.76952331033228e-15,4.94803975423328e-12,21.6378689920271
"ENSMUSG00000009772",2.63604528580072,2.04579709188573,16.9399799133494,6.53572650672325e-15,6.3283261189099e-12,23.797914425454
"ENSMUSG00000073421",5.59413336724906,3.15917542932811,16.7470578986274,8.44113601693354e-15,7.66244121937142e-12,23.5431883285483
"ENSMUSG00000083563",-1.89751167500702,4.85413270777281,-16.4123069230783,1.32369711418836e-14,1.13090452273363e-11,23.4270252567595
"ENSMUSG00000067928",-1.99745711353003,3.9695263479621,-16.340386960874,1.4595035455182e-14,1.17278135594063e-11,23.4031668589404
"ENSMUSG00000058174",2.18804780747555,7.80722938250494,16.3037308621219,1.53420860388818e-14,1.17278135594063e-11,23.2496274116702
"ENSMUSG00000037548",2.01459098176556,3.43545955936737,16.1207654746772,1.97110629623745e-14,1.37999906066023e-11,23.1167280036193
"ENSMUSG00000044786",1.26914535640735,8.03702671984814,16.1118958507458,1.99531673601383e-14,1.37999906066023e-11,22.9834383361627
"ENSMUSG00000036192",-2.8314994458552,8.74525475711269,-15.9076669687616,2.64709155005312e-14,1.7475617124078e-11,22.7192927422429
"ENSMUSG00000005540",4.99269950232099,1.55305509784248,15.7867007888498,3.134004144125e-14,1.97905548649006e-11,21.7799371892051
"ENSMUSG00000025969",-1.99659992254349,3.87036106199143,-15.6122740372067,4.00556683345774e-14,2.42403552871417e-11,22.4117163020754
"ENSMUSG00000006736",1.9325063614609,3.76800795227932,15.529406373735,4.50439923404388e-14,2.61687577901014e-11,22.2685889066736
"ENSMUSG00000027368",2.50771425190801,6.87705738794729,15.3274536338675,6.0090564453506e-14,3.35675137739508e-11,21.866873764967
"ENSMUSG00000037563",1.71447103905568,9.29193730589457,14.9269625575334,1.07419184511543e-13,5.63340116166856e-11,21.2850383528132
"ENSMUSG00000053560",1.72837095316038,6.81757360842803,14.9194878826138,1.08603162026108e-13,5.63340116166856e-11,21.2572194746127
"ENSMUSG00000031838",2.81430559016315,2.68424143213385,14.7516239539479,1.39081054109548e-13,6.96556286167958e-11,20.995567712076
"ENSMUSG00000052563",-1.50145243235626,3.42242547280186,-14.6804037202993,1.54576993417189e-13,7.48358750797084e-11,21.0592495945203
"ENSMUSG00000091705",1.05057211827577,4.57026359190616,14.6327090721744,1.65946510313732e-13,7.77486166386014e-11,20.8202445107932
"ENSMUSG00000003545",5.62205100516439,3.57516624766567,14.5270851579269,1.94320192555655e-13,8.58497210429125e-11,20.7749230421184
"ENSMUSG00000097188",1.14741090709683,6.50965004540262,14.524552421946,1.95059267034984e-13,8.58497210429125e-11,20.6566437278293
"ENSMUSG00000030724",5.85554225910969,2.04172452154851,14.3184720771888,2.66128209985587e-13,1.13683709465608e-10,19.8311775684534
"ENSMUSG00000014453",4.53997143622739,0.82417971856553,14.2475676285559,2.96395844877666e-13,1.2299580717152e-10,19.3616644241871
"ENSMUSG00000055148",1.28449303479518,8.47954082680095,14.1860081250525,3.2556544386387e-13,1.31347569629968e-10,20.1451392158079
"ENSMUSG00000085438",-1.06249815696866,7.66588964660372,-14.0071495290306,4.28434715277639e-13,1.68161161709456e-10,19.8526060058712
"ENSMUSG00000072915",-2.08655145466826,4.36205535350651,-13.9899381382427,4.3996999070224e-13,1.68161161709456e-10,19.9628473643586
"ENSMUSG00000000732",2.03211210668108,3.36806010015997,13.9375064463917,4.77135898948633e-13,1.77690302469999e-10,19.9565199251808
"ENSMUSG00000035530",1.54128401078905,8.64772483903706,13.8083182115704,5.83266187441574e-13,2.11783952660036e-10,19.5502877785581
"ENSMUSG00000034765",1.71501177773625,4.18896469917867,13.6342604637959,7.66308906882665e-13,2.71460257647898e-10,19.4133811135038
"ENSMUSG00000067288",1.55858689028305,8.83025038151722,13.5254337494658,9.10161433900852e-13,3.14742492047047e-10,19.0974554567573
"ENSMUSG00000042474",5.12204765529513,1.65191114382642,13.4233184278984,1.07065876955228e-12,3.57988147245375e-10,18.6715377692333
"ENSMUSG00000046351",-1.19722597364048,5.13022284588378,-13.4152596342091,1.08451380327709e-12,3.57988147245375e-10,19.0130125513306
"ENSMUSG00000040592",2.05916456475239,3.97052648706641,13.3252944292533,1.25241811045186e-12,3.97685550518131e-10,18.975212015725
"ENSMUSG00000028393",1.65935703303019,3.41399568519537,13.3217607884883,1.25953837261319e-12,3.97685550518131e-10,18.9848301410171
"ENSMUSG00000025867",-3.05233456687429,4.47016742710055,-13.2485734424157,1.41683110275731e-12,4.3783095609462e-10,18.6830952616405
"ENSMUSG00000024042",1.7634079523795,5.77158868580786,13.2107936005926,1.50586033158731e-12,4.55648238666127e-10,18.6052151886399
"ENSMUSG00000059994",4.55356762752707,0.769516339123667,13.1927727112626,1.55034967665978e-12,4.59536300077687e-10,17.9741217720478
