"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000052684",4.429803128414,7.08669821850535,36.459980897102,6.96063874954667e-28,1.17746165087332e-23,51.1223543916946
"ENSMUSG00000021250",4.9476577055137,7.13947668476238,26.5584210806124,1.44520919573043e-23,1.2223579377488e-19,42.6394112062934
"ENSMUSG00000003545",5.24954453149628,6.309560282037,23.9915319180246,3.33561991648074e-22,1.88084488357294e-18,39.1650845894368
"ENSMUSG00000024190",2.53069766829533,7.03644953775397,18.3285484888709,1.14152499786391e-18,4.82750921596648e-15,32.4779714034594
"ENSMUSG00000054364",2.04433934125088,6.73218453721212,17.1610920910381,7.93797744967951e-18,2.68557653077557e-14,30.5868974051123
"ENSMUSG00000052837",2.37773352034271,8.33226338020045,16.0245602810011,5.82524440956935e-17,1.64233057387125e-13,28.6650697102193
"ENSMUSG00000037266",-0.947276773170588,9.04133854642439,-14.1988436096647,1.82513009424207e-15,4.41055723917126e-12,25.2618292207396
"ENSMUSG00000067928",-1.37923559842591,3.4795332968575,-13.9756219778803,2.84384156603181e-15,6.01330299137426e-12,24.7348734505552
"ENSMUSG00000046785",-1.36092742059499,5.87401821285491,-13.4615606050981,8.0550437255196e-15,1.51399021845433e-11,23.7931243227143
"ENSMUSG00000072915",-1.94324550048704,3.14762235941476,-12.8488263984824,2.89213565502728e-14,4.69124148081291e-11,22.4843481779343
"ENSMUSG00000076609",2.31508685340229,11.2402380150549,12.8236866281023,3.05058266073197e-14,4.69124148081291e-11,22.4782736090542
"ENSMUSG00000089788",-1.07978191346992,5.40940234476433,-12.4798635885333,6.37263984785844e-14,8.98329797219779e-11,21.735434993377
"ENSMUSG00000040435",3.31260351777516,8.16200417494587,12.3423686430797,8.5884704313034e-14,1.11755819858406e-10,21.4526814648098
"ENSMUSG00000074056",-3.37883897713257,-0.288431757924054,-12.174215854803,1.24082966783929e-13,1.4992767615121e-10,19.8031214272926
"ENSMUSG00000026073",2.44276591574337,1.67077487169624,12.0010260129634,1.81890506056386e-13,2.05123986696655e-10,20.3750570562801
"ENSMUSG00000027677",-0.993211691233546,6.73706163042645,-11.9288034263363,2.13566608427704e-13,2.2579329676019e-10,20.5266394894331
"ENSMUSG00000042369",-0.563670000261387,5.15856449489448,-11.8532304398432,2.52802758354308e-13,2.49486467290108e-10,20.3717807103342
"ENSMUSG00000032501",1.55130378854582,5.40644197293745,11.8313737548783,2.65473895201109e-13,2.49486467290108e-10,20.341301646529
"ENSMUSG00000026754",-0.768629431263138,4.80618045120888,-11.5111783150166,5.47100950085262e-13,4.87092614296963e-10,19.6088783064613
"ENSMUSG00000052271",2.15803896273414,2.92713247850533,11.4505166360947,6.2831477355523e-13,5.31428635473013e-10,19.318567741215
"ENSMUSG00000044786",1.61752044666172,9.06560185193569,11.2802541400791,9.28849147865195e-13,7.48210104061316e-10,19.0778857404005
"ENSMUSG00000072612",2.76481935497662,0.614583306865756,11.2028517090563,1.11080982149531e-12,8.54111770018846e-10,17.2827516484949
"ENSMUSG00000000982",2.93070538918198,3.02341007257663,11.1576121685087,1.23367382169759e-12,9.07340276862453e-10,18.4737893046948
"ENSMUSG00000067149",2.00210477342629,9.92300916396615,11.0868625549135,1.45437120004199e-12,1.02508930082959e-09,18.6367952348355
"ENSMUSG00000008348",0.750558885386244,9.99900014530338,10.8530476919225,2.51671763456845e-12,1.70291182025439e-09,18.1009224856946
"ENSMUSG00000038156",3.06520756906718,2.75691158835542,10.689592468369,3.70779113224891e-12,2.41234595358163e-09,17.5274190155545
"ENSMUSG00000037997",-0.804346709221304,5.2374274634472,-10.5024403979827,5.80249282757347e-12,3.63536921004566e-09,17.235683147196
"ENSMUSG00000027221",3.1710636761028,2.83918260999664,10.4050514567056,7.3383900972265e-12,4.43343596016727e-09,16.9764307056341
"ENSMUSG00000021796",2.65902897675514,1.99454501034186,10.3630674962441,8.12326543704541e-12,4.73838476320897e-09,16.7975969357877
"ENSMUSG00000066613",-1.01618526222006,4.21145975246366,-10.3389284841966,8.61287765666223e-12,4.85651461466994e-09,16.8770024311868
"ENSMUSG00000023272",1.53454128764401,5.46791670923521,10.3182384244215,9.05649899290428e-12,4.9419269988377e-09,16.8202908538288
"ENSMUSG00000057897",-1.75183565089978,1.00604297523817,-10.2878315995031,9.75123922779124e-12,5.15474883679114e-09,16.7266483744585
"ENSMUSG00000020592",1.69787199315951,4.83415011072647,10.1286621608794,1.43860040400036e-11,7.37435285880911e-09,16.3934527668148
"ENSMUSG00000026864",0.749561506436239,9.31543997891701,10.0976508910209,1.55242277676821e-11,7.60961297214693e-09,16.2761350406842
"ENSMUSG00000020863",-0.804896640768044,7.43493145289138,-10.0919146969392,1.57446473176367e-11,7.60961297214693e-09,16.236411234395
"ENSMUSG00000024276",-1.06239596743848,5.71895254113227,-9.94543843311391,2.26004044147642e-11,1.05258055151047e-08,15.862078966946
"ENSMUSG00000095123",-1.49634628104376,3.97934336492374,-9.9379640349402,2.30228661656937e-11,1.05258055151047e-08,15.9155428824883
"ENSMUSG00000034160",-0.828995195312011,8.6709708259209,-9.90410840821541,2.50398113865587e-11,1.10588415104875e-08,15.7947899445636
