Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
11	ENSMUSG00000003545	5.59122996817321	4.65693751593365	18.3276222069779	6.78323770187044e-16	9.46076662019057e-13	25.7677575440916	Fosb	1
800	ENSMUSG00000097070	5.47779818222946	-1.01767579355676	7.16645521394798	1.75957606876725e-07	3.37442700587839e-06	5.18215450076309	NA	2
7	ENSMUSG00000052684	5.19993336151957	4.98502114339024	23.0751396028696	3.10240229138835e-18	6.79957942206858e-15	30.7126310432052	Jun	3
4	ENSMUSG00000021250	4.61805275077328	5.11553013567637	26.9306442457652	7.84797214687382e-20	2.62327345737566e-16	34.4639674898357	Fos	4
23	ENSMUSG00000097125	4.41933945636661	1.25275132519834	16.0945590010445	1.32384488602096e-14	8.55730053374095e-12	19.7218531438411	Gm26885	5
1214	ENSMUSG00000097025	3.88689780924133	-1.81701622394138	6.43115204717726	1.03811716729912e-06	1.31076242549701e-05	3.78846495379348	Gm26558	6
563	ENSMUSG00000034227	3.6970558342595	-0.490790973009822	7.81656275084711	3.87679418963298e-08	1.05644363156926e-06	7.39744842244487	Foxj1	7
1401	ENSMUSG00000021701	3.66516672579197	-0.699454977925388	6.1608675660284	2.0249131825799e-06	2.21743169501362e-05	3.54335399527739	Plk2	8
3475	ENSMUSG00000030110	3.6405118571675	0.865441613641263	4.25964515555126	0.000259007398189687	0.00114321148948824	0.460511478509132	Ret	9
1638	ENSMUSG00000096544	3.52163717754072	4.99930332738269	5.86897413082862	4.2016511304659e-06	3.93539265223491e-05	4.10557659131788	Gm4617	10
809	ENSMUSG00000050014	3.46758419526431	0.591163895864313	7.14771487357948	1.83948568350568e-07	3.48842884503636e-06	6.08034294611115	Apol10b	11
6	ENSMUSG00000024190	3.46383201992695	4.65711361535759	24.2878066382102	9.21234635514653e-19	2.35559696301097e-15	32.3662899101674	Dusp1	12
1637	ENSMUSG00000086083	3.43134047442439	-2.28449184245755	5.87022129707492	4.18849488839187e-06	3.92546662050751e-05	2.71484460854115	Gm15829	13
193	ENSMUSG00000070999	3.40566697830722	-0.240580069874162	9.97034565973419	3.84318771097385e-10	3.0550355368788e-08	10.8527937818703	Ccin	14
5	ENSMUSG00000040435	3.4008500874192	6.29421015669176	26.8344665972812	8.54932035385107e-20	2.62327345737566e-16	35.1704809249761	Ppp1r15a	15
2280	ENSMUSG00000046145	3.34253881887828	-1.78301245260926	5.1800489016683	2.42070339171574e-05	0.000162887857174135	1.67810815348564	1700018M17Rik	16
2392	ENSMUSG00000039021	3.29350278773174	-0.121386390119476	5.08632132608491	3.07905723768872e-05	0.000197487023999249	1.91915931877956	Ttc16	17
240	ENSMUSG00000044072	3.28405112229019	2.14938981623817	9.54780799037465	9.06076354546973e-10	5.77996752162169e-08	12.0173279298959	Eml6	18
1287	ENSMUSG00000078157	3.2213187891923	-1.83539888496978	6.31765248028349	1.37301513126191e-06	1.63673645251128e-05	3.72593034569458	Fem1al	19
319	ENSMUSG00000032261	3.19122476553312	1.87832876348585	8.93984134998974	3.23979659698252e-09	1.55352393897945e-07	11.109225115371	Sh3bgrl2	20
1	ENSMUSG00000052837	3.14924770990034	7.77753555917398	37.2985767631545	3.03065285574495e-23	4.64962761128391e-19	42.8375330778381	Junb	21
1766	ENSMUSG00000029431	3.06894918197146	-1.1942644429354	5.72834153020608	5.98944441873928e-06	5.20328744463749e-05	3.20453052633434	B3gnt4	22
3974	ENSMUSG00000093575	3.04980275431027	-0.582030523178891	3.96249240307092	0.00055483350679551	0.00214174744357021	-0.272600792132559	Gm20695	23
1929	ENSMUSG00000001240	2.9997895349731	1.27405248337412	5.54306905578498	9.57897874068992e-06	7.61849102331077e-05	3.47811766272302	Ramp2	24
2515	ENSMUSG00000087050	2.99009384600702	-2.44137408994688	4.97604686018735	4.08832395384925e-05	0.000249395889065428	1.20200223537859	Dhrs13os	25
2979	ENSMUSG00000047586	2.96704847645731	1.20496630684342	4.61359369155596	0.000104043996543218	0.000535831821069505	1.32063611094166	Nccrp1	26
4264	ENSMUSG00000038236	2.95084388284118	-0.92929733458704	3.79535914607734	0.000849090487127639	0.00305505306133026	-0.800777643206799	Hoxa7	27
890	ENSMUSG00000015222	2.90577281681742	0.998796684653019	6.98827150189086	2.68892726923005e-07	4.63522720949747e-06	6.50455743275979	Map2	28
28	ENSMUSG00000000303	2.89957915897247	3.09972874195192	15.635472456398	2.54491209942854e-14	1.39443005105117e-11	21.8077243951354	Cdh1	29
1529	ENSMUSG00000033948	2.87604922666343	-0.360614571479273	6.0033574816122	2.99933478191581e-06	3.00953526645862e-05	4.15827519229971	Zswim5	30
565	ENSMUSG00000022425	2.85321564818595	1.17595651449419	7.80391979731614	3.99042787765539e-08	1.08356007962812e-06	8.38866517575893	Enpp2	31
2877	ENSMUSG00000086944	2.85232139757874	-2.17522036149771	4.6942745236015	8.44980034233695e-05	0.000450597277901055	0.771116007940445	Gm15859	32
3190	ENSMUSG00000031748	2.8451431278146	-2.20028920597276	4.46606387873925	0.000152209633469483	0.000731984522520201	0.348745620931243	Gnao1	33
3	ENSMUSG00000019850	2.8209683098918	7.61291199654564	29.5885556634995	8.20181166950077e-21	4.19440648778269e-17	37.5820572443258	Tnfaip3	34
395	ENSMUSG00000037003	2.81069871556536	0.276579536111871	8.46696854469032	9.02498686134226e-09	3.50535059308134e-07	9.16690941597871	Tns2	35
122	ENSMUSG00000022912	2.80847015060741	2.67874506130783	11.0425288345653	4.81087134223911e-11	6.04986787972397e-09	15.0569350695311	Pros1	36
66	ENSMUSG00000003032	2.78808946634584	2.59042928928018	12.4528845653511	3.81721487714146e-12	8.87328949168246e-10	17.4772370646087	Klf4	37
745	ENSMUSG00000024232	2.77658533360803	-0.249695160157227	7.29859867823958	1.28810530519522e-07	2.65263242849732e-06	6.73598344157736	Bambi	38
307	ENSMUSG00000022041	2.7740319339741	0.807116213602051	8.99373709756928	2.88814969662664e-09	1.44332223601453e-07	10.68067314464	Chrna2	39
8914	ENSMUSG00000081603	2.77092363412849	1.73716283547118	1.84072756063536	0.0777004019559843	0.133726493069137	-4.44316281945436	Gm14681	40
3273	ENSMUSG00000097678	2.70342964909683	-1.33868570238931	4.40630941002495	0.000177552586565187	0.000832267578088331	0.375017409628706	NA	41
490	ENSMUSG00000056501	2.69731611796712	0.894936407586639	8.06480780332586	2.20790453855655e-08	6.91299416949684e-07	8.80459986773679	Cebpb	42
2727	ENSMUSG00000048617	2.69194027629659	-1.9128836029782	4.80821868274958	6.2988233533028e-05	0.000354369445861282	1.19496782125409	Rtbdn	43
55	ENSMUSG00000000817	2.69106226313037	4.05852789514257	13.3235102180771	8.85257121365497e-13	2.46938450108899e-10	19.1880306394893	Fasl	44
311	ENSMUSG00000074892	2.69018107423728	1.84629523985399	8.97731276821672	2.99094365957097e-09	1.47410542261265e-07	10.9246632418878	B3galt5	45
2702	ENSMUSG00000091154	2.68229841447401	-2.34528760813551	4.83053519906618	5.94677244959915e-05	0.000337658708074575	0.92019489608757	Proscos	46
4210	ENSMUSG00000028451	2.67860288435967	-2.01661328790111	3.83614643846815	0.000765538030145707	0.00278975877874001	-0.700879452414219	1700022I11Rik	47
2895	ENSMUSG00000034117	2.67804050768328	-1.50637342701329	4.68035451417289	8.75865376698919e-05	0.000464163268024691	0.836706958730219	Ptgdr2	48
10385	ENSMUSG00000097590	2.67191543359947	0.261704328587814	1.37650328127757	0.181011204406886	0.267412026770385	-4.93494126659142	NA	49
2506	ENSMUSG00000074075	2.66794511739738	-1.69210418547639	4.98515309703098	3.9936524164538e-05	0.000244495671880424	1.48364448369338	NA	50
210	ENSMUSG00000040441	2.66774789079294	1.02573157573606	9.81474242539992	5.25680217177765e-10	3.84046947235299e-08	12.0185987285643	Slc26a10	51
5400	ENSMUSG00000068246	2.61380115597832	-2.265829723206	3.19685768200692	0.00377957781988313	0.0107382005393791	-1.96324696631821	Apol9b	52
5057	ENSMUSG00000097614	2.6123894487654	2.08746473909711	3.36496670975252	0.00249993972390986	0.00758413096743446	-1.64795057292528	NA	53
99	ENSMUSG00000085289	2.60138930955403	1.82296204108346	11.399981494214	2.47946841527902e-11	3.84242468961724e-09	15.4331699011825	Gm15337	54
374	ENSMUSG00000017167	2.56378911200828	4.02121855319833	8.60812153251982	6.62658459429678e-09	2.7183171349118e-07	10.3755957940263	Cntnap1	55
3828	ENSMUSG00000075029	2.55825516204435	-1.99394105464535	4.0474543564186	0.000446497824192207	0.00178899985674935	-0.407554753826276	4930558J22Rik	56
2477	ENSMUSG00000044306	2.53196631637983	-0.484557333577426	5.00898689665369	3.75616831556189e-05	0.00023255848015695	1.97092664887649	4930500M09Rik	57
2532	ENSMUSG00000027276	2.51194002534961	0.923576083808936	4.95870983796917	4.27484636849524e-05	0.000259023274034178	2.14635509232538	Jag1	58
27	ENSMUSG00000001025	2.51032041712702	5.58170242099885	15.6673104705381	2.43090311875261e-14	1.38129317214454e-11	22.8789686613085	S100a6	59
586	ENSMUSG00000048807	2.49467424167019	0.658266923051644	7.73977225120345	4.62189441025024e-08	1.21005297000101e-06	8.03474016948128	Slc35e4	60
3108	ENSMUSG00000014747	2.467301356743	-1.6755832500451	4.51967271628937	0.000132560324994679	0.000654356662184158	0.6265402151019	Ankrd53	61
5788	ENSMUSG00000090877	2.46270488979782	1.83111959339682	3.01988317558168	0.00580161718295602	0.0153780944749329	-2.31889464867936	Hspa1b	62
2448	ENSMUSG00000028359	2.45932175807207	-1.55655813248461	5.03462174669596	3.51655902530848e-05	0.000220388270287103	1.71245335021071	Orm3	63
301	ENSMUSG00000091996	2.45519800194112	0.680659886707933	9.04110403563184	2.61157605570778e-09	1.33112291849398e-07	10.6231223251503	BC049352	64
