Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
2	ENSMUSG00000021250	6.0803562220815	4.67901826866766	28.7543762128608	3.35852722121985e-20	2.43896246804986e-16	34.6686011094019	Fos	1
3	ENSMUSG00000052684	5.95374142748402	4.37038746857249	27.2815393659469	1.15340219949708e-19	5.58400451516518e-16	33.7660008215317	Jun	2
70	ENSMUSG00000044072	5.61486592376531	-0.85851983417486	8.47374382308152	1.0650921691867e-08	2.20991409503823e-06	8.74386529724693	Eml6	3
454	ENSMUSG00000090877	5.33390854801754	0.933328704728897	5.38597557998798	1.5360901054041e-05	0.000491413495394036	3.13075777910656	Hspa1b	4
353	ENSMUSG00000096802	4.89528417398041	0.174626517669724	5.76162863213185	5.98969481609428e-06	0.000246442854133012	3.5745540815776	NA	5
72	ENSMUSG00000043753	4.65569196062543	-1.02585509147845	8.4447103661924	1.13409495948614e-08	2.28772155438565e-06	9.3493399686661	Dmrta1	6
415	ENSMUSG00000035067	4.5683324131019	-0.721565619372913	5.50012287821031	1.15245602969605e-05	0.000402423793154154	3.08190871987663	Xkr6	7
406	ENSMUSG00000099241	4.4095633644352	2.70314423584996	5.55093138136831	1.01440928766315e-05	0.000362888682118711	3.46216643299851	Gvin-ps2	8
110	ENSMUSG00000083282	4.06807646298586	0.37791137691505	7.68405727385109	6.1129729001197e-08	8.07134712739441e-06	7.96621917012535	Ctsf	9
124	ENSMUSG00000039899	3.95577744091259	-0.496804152846556	7.56277851834527	8.05346487275876e-08	9.43294546870551e-06	7.95106754228708	Fgl2	10
20	ENSMUSG00000090186	3.86878757826516	4.15067245578198	11.1735363034247	4.97299190728007e-11	3.58951731619245e-08	15.2855709758904	Gm52951	11
47	ENSMUSG00000003545	3.84373806147151	3.57516624766567	9.68717797786512	8.52894040003712e-10	2.63562405042849e-07	12.5749274932778	Fosb	12
618	ENSMUSG00000017314	3.83735250097225	-1.58110456184132	4.95440749952748	4.58546530129006e-05	0.00107765854427082	1.85331971685787	Mpp2	13
513	ENSMUSG00000018411	3.74781491407276	-2.54356235367316	5.18975241382778	2.52246734386437e-05	0.000712210453495079	2.29039889003599	Mapt	14
251	ENSMUSG00000067149	3.63935454176382	0.569842319232115	6.28738063024149	1.63817701382766e-06	9.47923623459477e-05	5.19911365057016	Jchain	15
48	ENSMUSG00000003032	3.63517116717576	0.931794569531917	9.57542896236445	1.06764295274691e-09	3.22779249821767e-07	12.0447127447094	Klf4	16
8	ENSMUSG00000025888	3.47699792540764	2.00215945688357	14.2511670377048	2.94776484698814e-13	5.35166707970697e-10	20.1650990666542	Casp1	17
172	ENSMUSG00000031618	3.47521374231985	-1.27555120267854	6.97102566631226	3.17772992528303e-07	2.68333426946574e-05	6.52157142850709	Nr3c2	18
599	ENSMUSG00000022041	3.47354097510382	0.149731295612438	5.0048700161931	4.03309080556216e-05	0.000977906692153336	2.21039947011808	Chrna2	19
184	ENSMUSG00000021701	3.44522585590773	-1.28907070268805	6.81353115519686	4.6135776304464e-07	3.6228820096323e-05	6.07947095205391	Plk2	20
1178	ENSMUSG00000011751	3.42540860031746	-3.23769443406331	3.96378625846032	0.000571710976311349	0.00704883719859596	-0.275066981222119	Sptbn4	21
112	ENSMUSG00000076609	3.41455786394142	2.74236085871695	7.66562920214519	6.37368999836428e-08	8.26531013716453e-06	8.3704872105839	Igkc	22
115	ENSMUSG00000095562	3.4091319440805	2.69317359812996	7.64848439202418	6.62649396783248e-08	8.36897377293904e-06	8.3126942014736	Erdr1	23
16	ENSMUSG00000050014	3.39648398463944	-0.19175224740575	11.5820576541394	2.38169207552824e-11	2.16198098156076e-08	15.2496600187224	Apol10b	24
534	ENSMUSG00000043943	3.37609598320023	-2.28126072837939	5.14204598729323	2.84672658971069e-05	0.000774266984811949	2.27515816609403	Naalad2	25
888	ENSMUSG00000001333	3.37248601254853	-2.19356900389883	4.38822478094992	0.000194298830142768	0.00317792365877653	0.624968626751747	Sync	26
797	ENSMUSG00000069270	3.32313047184987	-2.53986450175694	4.55047236888388	0.000128431760087576	0.00234045531180923	0.943529495908503	H2ac6	27
143	ENSMUSG00000097125	3.31687024347159	0.273446331023822	7.34374576067905	1.33151088678804e-07	1.3516586496735e-05	7.50858921605358	Gm26885	28
604	ENSMUSG00000038738	3.29481026131872	0.369786112126321	4.99829475507978	4.10108830571657e-05	0.000986162360136217	2.21735526638868	Shank1	29
582	ENSMUSG00000029752	3.28349931184425	-1.85556626292196	5.03648610030662	3.72164654094439e-05	0.000928373127354827	2.10018697714712	Asns	30
4	ENSMUSG00000040435	3.28241085083606	6.26306102213679	25.7790161640574	4.33888643943245e-19	1.57544966615792e-15	33.6520132096493	Ppp1r15a	31
84	ENSMUSG00000034612	3.18565463151774	2.3308061972963	8.12609593631635	2.27523098357427e-08	3.93398271493247e-06	9.31887021710461	Chst11	32
939	ENSMUSG00000030247	3.15422735717627	-1.55393506953539	4.31556868642646	0.000233843972106866	0.00361698599667745	0.537868768910458	Kcnj8	33
49	ENSMUSG00000041481	3.1445107219196	0.568814335616499	9.56562491622988	1.08896882685669e-09	3.22779249821767e-07	12.1012259974052	Serpina3g	34
496	ENSMUSG00000042784	3.07208406133522	-1.9160147981595	5.25117353867958	2.15917686982814e-05	0.000632255743092417	2.50107510749043	Muc1	35
2535	ENSMUSG00000092367	3.06291485895568	0.129850613679731	2.86379653835887	0.00852322530101994	0.0488328695353111	-2.69285819384468	Gm20479	36
837	ENSMUSG00000048621	3.00708118015674	-2.20717746325086	4.4767026732363	0.000155037109825857	0.0026902735759985	0.798163897960114	Gm6377	37
5	ENSMUSG00000024190	2.98442972520489	4.33792266049326	19.173521484632	4.0039183708806e-16	1.1630582083734e-12	26.8343305275432	Dusp1	38
1033	ENSMUSG00000081805	2.94938856838064	-2.02972328032284	4.1538171484146	0.000353004639194273	0.00496325206162403	0.101662013085009	Gm14335	39
1183	ENSMUSG00000039005	2.93293689972519	-2.31897377557176	3.95850662383943	0.000579401112020828	0.00711345879204608	-0.266500111225932	Tlr4	40
492	ENSMUSG00000026656	2.92900262519022	-0.473301919971232	5.2561955762418	2.13191726243207e-05	0.000628193723889448	2.77895436832587	Fcgr2b	41
391	ENSMUSG00000046447	2.91046097329233	2.92919768447322	5.5846393092796	9.32180930448106e-06	0.000346265878103025	3.45470588705433	Camk2n1	42
1855	ENSMUSG00000094420	2.90340012957612	-2.09037803162432	3.31045617360527	0.00291848638719462	0.0228507257615174	-1.60270564150196	Igkv10-96	43
994	ENSMUSG00000027276	2.90283053073111	-2.43591657438018	4.23380412876881	0.000287998595087039	0.0042068000721967	0.300289073429523	Jag1	44
451	ENSMUSG00000088088	2.89335440707619	0.397186787415017	5.39160176264498	1.51445499328795e-05	0.000487348033616252	3.1409982733984	Rmrp	45
2880	ENSMUSG00000091199	2.89198389766106	1.09157946517134	2.69452863583467	0.0126229842528824	0.0636495784441914	-3.01377490420414	Gm2619	46
1853	ENSMUSG00000047586	2.88536008841697	-2.81541485144006	3.3127562345332	0.00290210222356997	0.0227469685348787	-1.59691138898343	Nccrp1	47
25	ENSMUSG00000026358	2.86471418998601	1.93469808299678	10.7300661177267	1.12968686890129e-10	6.56302883356893e-08	14.5158286011725	Rgs1	48
6	ENSMUSG00000021796	2.84514132288495	2.39710067279256	17.1650250082429	4.86451455905559e-15	1.17753682426206e-11	24.1859450534632	Bmpr1a	49
1349	ENSMUSG00000019590	2.81245074102745	-2.56392236669844	3.77394838621972	0.000922953252368135	0.00993233663372959	-0.668374902331146	Cyb561	50
1668	ENSMUSG00000002100	2.78327226862342	-2.50064416843342	3.46677888771001	0.00198641135230174	0.0172964681851045	-1.29361181181931	Mybpc3	51
1226	ENSMUSG00000022416	2.7804651268305	-0.429142629510868	3.90436547991118	0.000664401479696426	0.00787093563712144	-0.319446145458889	Cacna1i	52
1	ENSMUSG00000052837	2.76927726722091	7.7117748279752	30.4141420342125	8.96531775716608e-21	1.3021227510508e-16	37.4205842532274	Junb	53
1396	ENSMUSG00000096768	2.76518109360148	6.6197685248605	3.73623667647471	0.00101466028840206	0.0105549215033149	-1.84924470451102	Gm47283	54
371	ENSMUSG00000014932	2.7276264898064	-0.138226686231151	5.66101428529612	7.69954009529603e-06	0.000301423504970565	3.78102437091363	Yes1	55
2073	ENSMUSG00000085205	2.72021708133828	-2.26612602396612	3.16890429934804	0.00411877210844047	0.0288572340101251	-1.88862883094809	Gm13185	56
517	ENSMUSG00000022586	2.67377803368302	3.46613007469674	5.18682701850001	2.54123357511914e-05	0.000712391327986076	2.63606943370101	Ly6i	57
660	ENSMUSG00000055069	2.67149181441816	-0.678352531928349	4.86096340201727	5.81721963698085e-05	0.00128014087890167	1.82127010143433	Rab39	58
71	ENSMUSG00000022912	2.66388768374044	0.331771366538798	8.44508402924323	1.13317828653385e-08	2.28772155438565e-06	9.97442391640345	Pros1	59
229	ENSMUSG00000046546	2.65732207658111	-1.04463177927937	6.42726007541434	1.16598521928358e-06	7.38099390679392e-05	5.32609443780688	Fam43a	60
551	ENSMUSG00000097160	2.65581768640033	-0.0935912551668073	5.10475040467058	3.12925310456013e-05	0.000824850673151205	2.46554450621633	A630072L19Rik	61
1052	ENSMUSG00000060678	2.63201822626334	-1.72009682554352	4.12987971645681	0.000375152309346015	0.00517687347463425	0.173059005593283	H4c3	62
457	ENSMUSG00000083796	2.62047949425469	-1.17296291379304	5.3774611190438	1.56942763656822e-05	0.000497806394217108	2.97477592050825	Gm13369	63
2318	ENSMUSG00000096336	2.58784597039397	-1.79006511697848	2.99857087726064	0.00619891246548329	0.0388408130494734	-2.22332956207035	Igkv1-135	64
38	ENSMUSG00000033538	2.58668152357939	1.14384996936745	10.1025410638971	3.75257755010704e-10	1.43427464046723e-07	13.2786523284561	Casp4	65
55	ENSMUSG00000044734	2.55034007933847	1.01270022277397	8.98142410307248	3.61828446520323e-09	9.55490246774757e-07	11.1438222945422	Serpinb1a	66
2543	ENSMUSG00000034227	2.54895784879332	-1.73360432674087	2.86124362512445	0.00857438716948298	0.0489714507469803	-2.48711346769146	Foxj1	67
193	ENSMUSG00000028885	2.53223486203887	-1.57972596602094	6.69068200840831	6.18385509036265e-07	4.65359126074752e-05	6.14400412091233	Smpdl3b	68
479	ENSMUSG00000043168	2.528489125658	-0.435809097747247	5.29750801158148	1.92045647801861e-05	0.000582311271121968	2.76824984323833	4930426D05Rik	69
21	ENSMUSG00000026011	2.52609120861881	1.94490842521947	11.1501457263838	5.19002090608933e-11	3.58951731619245e-08	15.2468957740455	Ctla4	70
625	ENSMUSG00000074075	2.50616350183824	-1.75781526855742	4.94057841986585	4.74971607017263e-05	0.00110215394397201	1.87364083427162	NA	71
1370	ENSMUSG00000032363	2.4976661399316	-2.45217091424603	3.75689054705019	0.000963378298227146	0.010213216352884	-0.684911205932105	Adamts7	72
66	ENSMUSG00000026950	2.48626305741135	2.34783623607509	8.54554911165116	9.12370384406593e-09	2.00545525594589e-06	10.1939096691349	Neb	73
1461	ENSMUSG00000089937	2.48569462960235	-2.40696400820431	3.6718854394847	0.00119224179087142	0.011852238036014	-0.86025264804011	Gm7281	74
361	ENSMUSG00000085289	2.47983709029056	0.752940941654355	5.69553812908944	7.06317419708502e-06	0.000284170476560839	3.86422779070655	Gm15337	75
73	ENSMUSG00000031565	2.43439112320733	2.22000141644369	8.43063073627907	1.16919677783488e-08	2.30500442210148e-06	10.0174634458053	Fgfr1	76
1599	ENSMUSG00000051682	2.42983659915252	-2.69486079854033	3.52986069930245	0.00169885334071917	0.0154309855663573	-1.14835509387864	Treml4	77
1343	ENSMUSG00000004110	2.42608050964307	-1.30697898124752	3.78075482722794	0.000907292605602598	0.00981200134309168	-0.589585776433517	Cacna1e	78
642	ENSMUSG00000044471	2.4241863763924	0.229648062738346	4.90748965411988	5.16713921091e-05	0.00116896464017534	2.00304935152887	Lncpint	79
706	ENSMUSG00000030701	2.40447183404664	-1.41181304032472	4.75126463287086	7.69415721742463e-05	0.00158286033181127	1.55436990207999	Plekhb1	80
1842	ENSMUSG00000045087	2.37774233385039	-3.20206013289298	3.32853456768921	0.00279208685421729	0.0220153471610488	-1.57383438513885	S1pr5	81
