Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
209	ENSMUSG00000097125	4.35434314413049	1.24059058595156	7.05156649766319	3.48523931780842e-07	2.63860965194654e-05	5.95879854426087	Gm26885	1
38	ENSMUSG00000072612	3.86817243852825	1.5784527303433	9.81613313434956	1.08595295416821e-09	4.4433661468216e-07	10.7538694387277	Gm10382	2
32	ENSMUSG00000021250	3.44361072587418	7.77594071135093	10.2551306611195	4.7527451817803e-10	2.35008396910343e-07	13.1757250023496	Fos	3
101	ENSMUSG00000003545	3.00481830952762	4.29218192252075	8.22239965785041	2.67507822356768e-08	4.1738177371868e-06	9.23608567876898	Fosb	4
683	ENSMUSG00000038418	3.00082766769343	4.26997748807091	5.35807197435974	1.92869414616698e-05	0.000446710690886689	2.77002563643491	Egr1	5
1959	ENSMUSG00000090709	2.89722008775597	-1.4725479587036	3.88980532119424	0.000739551630992391	0.00597341779336018	-0.921926877789507	Gm17173	6
5	ENSMUSG00000052684	2.70575523222394	5.2986545923963	14.5852184339933	4.12486156971081e-13	1.30535369235068e-09	20.0145501480297	Jun	7
858	ENSMUSG00000098428	2.67366018289526	2.04365960199759	5.05396660499499	4.08291461568747e-05	0.000752959883030569	2.23546493249644	NA	8
1113	ENSMUSG00000025432	2.63481896907555	1.61418970194747	4.7018750295762	9.7906401950622e-05	0.0013918894861318	1.35330366077447	Avil	9
417	ENSMUSG00000003541	2.58341846314188	2.93571939601614	6.10115150023306	3.188151282168e-06	0.000120807234136223	4.62157753282909	Ier3	10
4624	ENSMUSG00000067038	2.51975491267119	3.49441372566943	2.55551085382649	0.0176824079921493	0.0604887771997273	-3.63376566223563	Rps12-ps3	11
3474	ENSMUSG00000050014	2.47105164531207	-0.969927607513904	3.0095401001264	0.0062496325298045	0.0284615077645162	-2.23507745283523	Apol10b	12
4	ENSMUSG00000052837	2.45537155944185	8.44260604283248	15.1341631035399	1.90490437812758e-13	7.53532549377818e-10	20.7310771697862	Junb	13
1636	ENSMUSG00000097070	2.43913030969651	-0.934077161147722	4.15545252885579	0.000382304485282439	0.00369697050527473	-0.095472973858266	NA	14
1741	ENSMUSG00000001227	2.42842434187458	3.0328411063465	4.07613611574381	0.000465720270557075	0.00423267768008305	-0.253763671018245	Sema6b	15
2242	ENSMUSG00000039462	2.35733270678033	-3.05923480492517	3.69435425564906	0.00119812661295939	0.00845582399502966	-1.20051360657228	Col10a1	16
75	ENSMUSG00000024190	2.31143811906705	8.01411132815998	8.62060524667519	1.1646944009553e-08	2.45719460084209e-06	10.0027220351343	Dusp1	17
2353	ENSMUSG00000015854	2.29695744616874	-2.82864409101348	3.61529337331818	0.00145485133876433	0.00978330332905564	-1.42181604438554	Cd5l	18
703	ENSMUSG00000040441	2.27785889176087	-0.547677780347737	5.33332814400378	2.04955910421605e-05	0.000461311148022909	2.15201157478938	Slc26a10	19
1716	ENSMUSG00000089652	2.22993589616194	0.586234322772905	4.09193781104122	0.000447772194524131	0.00412884582398329	0.0439020970192487	Gm16025	20
